product_id,product_name,category,orders,late_rate,return_rate,stockout_rate
P0001,Electronics Item 001,Electronics,64,0.359375,0.0625,0.08333333333333333
P0002,Home Item 002,Home,70,0.34285714285714286,0.11428571428571428,0.0
P0003,Office Item 003,Office,56,0.5892857142857143,0.03571428571428571,0.0
P0004,Sports Item 004,Sports,69,0.3333333333333333,0.057971014492753624,0.08333333333333333
P0005,Apparel Item 005,Apparel,58,0.46551724137931033,0.05172413793103448,0.0
P0006,Electronics Item 006,Electronics,79,0.35443037974683544,0.08860759493670886,0.08333333333333333
P0007,Home Item 007,Home,76,0.42105263157894735,0.09210526315789473,0.25
P0008,Office Item 008,Office,75,0.4666666666666667,0.05333333333333334,0.16666666666666666
P0009,Sports Item 009,Sports,61,0.45901639344262296,0.03278688524590164,0.25
P0010,Apparel Item 010,Apparel,64,0.421875,0.046875,0.08333333333333333
P0011,Electronics Item 011,Electronics,62,0.3225806451612903,0.0967741935483871,0.0
P0012,Home Item 012,Home,60,0.3333333333333333,0.05,0.16666666666666666
P0013,Office Item 013,Office,60,0.43333333333333335,0.03333333333333333,0.08333333333333333
P0014,Sports Item 014,Sports,59,0.3728813559322034,0.06779661016949153,0.0
P0015,Apparel Item 015,Apparel,82,0.45121951219512196,0.06097560975609756,0.16666666666666666
P0016,Electronics Item 016,Electronics,84,0.36904761904761907,0.08333333333333333,0.16666666666666666
P0017,Home Item 017,Home,60,0.38333333333333336,0.1,0.08333333333333333
P0018,Office Item 018,Office,63,0.3968253968253968,0.047619047619047616,0.16666666666666666
P0019,Sports Item 019,Sports,62,0.3387096774193548,0.03225806451612903,0.0
P0020,Apparel Item 020,Apparel,67,0.417910447761194,0.04477611940298507,0.16666666666666666
P0021,Electronics Item 021,Electronics,57,0.3508771929824561,0.08771929824561403,0.16666666666666666
P0022,Home Item 022,Home,71,0.4788732394366197,0.07042253521126761,0.16666666666666666
P0023,Office Item 023,Office,78,0.44871794871794873,0.0641025641025641,0.16666666666666666
P0024,Sports Item 024,Sports,71,0.39436619718309857,0.07042253521126761,0.25
P0025,Apparel Item 025,Apparel,63,0.4603174603174603,0.09523809523809523,0.16666666666666666
P0026,Electronics Item 026,Electronics,65,0.49230769230769234,0.07692307692307693,0.08333333333333333
P0027,Home Item 027,Home,54,0.3333333333333333,0.07407407407407407,0.0
P0028,Office Item 028,Office,79,0.379746835443038,0.0379746835443038,0.08333333333333333
P0029,Sports Item 029,Sports,70,0.3142857142857143,0.07142857142857142,0.25
P0030,Apparel Item 030,Apparel,60,0.4,0.06666666666666667,0.08333333333333333
P0031,Electronics Item 031,Electronics,75,0.37333333333333335,0.08,0.0
P0032,Home Item 032,Home,68,0.4411764705882353,0.029411764705882353,0.08333333333333333
P0033,Office Item 033,Office,65,0.47692307692307695,0.03076923076923077,0.0
P0034,Sports Item 034,Sports,72,0.4444444444444444,0.0,0.08333333333333333
P0035,Apparel Item 035,Apparel,76,0.5,0.10526315789473684,0.08333333333333333
P0036,Electronics Item 036,Electronics,69,0.5217391304347826,0.057971014492753624,0.0
P0037,Home Item 037,Home,63,0.3492063492063492,0.1111111111111111,0.25
P0038,Office Item 038,Office,82,0.4268292682926829,0.07317073170731707,0.3333333333333333
P0039,Sports Item 039,Sports,56,0.39285714285714285,0.05357142857142857,0.08333333333333333
P0040,Apparel Item 040,Apparel,70,0.42857142857142855,0.05714285714285714,0.16666666666666666
P0041,Electronics Item 041,Electronics,54,0.4444444444444444,0.1111111111111111,0.08333333333333333
P0042,Home Item 042,Home,49,0.3673469387755102,0.061224489795918366,0.08333333333333333
P0043,Office Item 043,Office,58,0.3620689655172414,0.08620689655172414,0.08333333333333333
P0044,Sports Item 044,Sports,72,0.4444444444444444,0.05555555555555555,0.08333333333333333
P0045,Apparel Item 045,Apparel,55,0.4909090909090909,0.09090909090909091,0.25
P0046,Electronics Item 046,Electronics,69,0.4492753623188406,0.057971014492753624,0.08333333333333333
P0047,Home Item 047,Home,67,0.44776119402985076,0.05970149253731343,0.16666666666666666
P0048,Office Item 048,Office,55,0.4909090909090909,0.03636363636363636,0.16666666666666666
P0049,Sports Item 049,Sports,71,0.30985915492957744,0.04225352112676056,0.08333333333333333
P0050,Apparel Item 050,Apparel,63,0.38095238095238093,0.047619047619047616,0.16666666666666666
P0051,Electronics Item 051,Electronics,78,0.3333333333333333,0.05128205128205128,0.16666666666666666
P0052,Home Item 052,Home,76,0.3815789473684211,0.05263157894736842,0.0
P0053,Office Item 053,Office,61,0.5245901639344263,0.04918032786885246,0.0
P0054,Sports Item 054,Sports,78,0.4358974358974359,0.10256410256410256,0.08333333333333333
P0055,Apparel Item 055,Apparel,54,0.48148148148148145,0.07407407407407407,0.16666666666666666
P0056,Electronics Item 056,Electronics,68,0.45588235294117646,0.04411764705882353,0.0
P0057,Home Item 057,Home,65,0.5076923076923077,0.046153846153846156,0.08333333333333333
P0058,Office Item 058,Office,63,0.5555555555555556,0.031746031746031744,0.08333333333333333
P0059,Sports Item 059,Sports,86,0.4069767441860465,0.08139534883720931,0.25
P0060,Apparel Item 060,Apparel,63,0.4126984126984127,0.1111111111111111,0.0
