month,orders,revenue,late_rate,avg_delivery_days,return_rate
2025-01,354,274015.46,0.3587570621468927,4.4,0.06779661016949153
2025-02,297,201335.01,0.39730639730639733,4.48,0.08754208754208755
2025-03,353,267434.03,0.43059490084985835,4.59,0.053824362606232294
2025-04,336,233452.58,0.4166666666666667,4.6,0.06845238095238096
2025-05,356,291763.44,0.44662921348314605,4.57,0.06179775280898876
2025-06,357,275508.95,0.4257703081232493,4.6,0.05322128851540616
2025-07,311,241111.49,0.4212218649517685,4.46,0.09003215434083602
2025-08,316,242485.27,0.39556962025316456,4.29,0.060126582278481014
2025-09,324,243152.68,0.4444444444444444,4.74,0.06790123456790123
2025-10,331,257406.63,0.4380664652567976,4.49,0.0634441087613293
2025-11,332,262440.1,0.39156626506024095,4.43,0.05421686746987952
2025-12,333,264997.76,0.44744744744744747,4.76,0.05105105105105105
